% Model:              buoyancy_free.mph
% Version:            COMSOL 6.2.0.339
% Date:               Feb 10 2025, 17:40
% Dimension:          2
% Nodes:              4256
% Expressions:        7
% Description:        Temperature
% Length unit:        m
% x                       y                        T (K) @ Ra=1             T (K) @ Ra=10            T (K) @ Ra=100           T (K) @ Ra=1000          T (K) @ Ra=10000         T (K) @ Ra=1E5           T (K) @ Ra=1E6
0.009072840295208457      0.4755846720246714       0.009072464816770149     0.009069218718359773     0.009049950370951408     0.009927443586542016     0.02076809678507678      0.04043761985209073      0.07262654409796128
0                         0.49000000000000016      0                        0                        0                        0                        0                        0                        0
0.009019088483618936      0.48550737378334136      0.00901886687582563      0.009017004875037099     0.009011486923134767     0.010005690521023534     0.021094868912278218     0.040930887912006976     0.07357879898313885
0                         0.5000000000000002       0                        0                        0                        0                        0                        0                        0
0.008941305557421958      0.49545631653553834      0.008941237227077467     0.008940753596080821     0.008948890383649861     0.01005587873910012      0.021357692370412042     0.04130235762067663      0.07419987893435905
0                         0.5100000000000001       0                        0                        0                        0                        0                        0                        0
0.008810166298993562      0.5053154578696638       0.008810247532111454     0.008811108025272072     0.008832476621045289     0.010042026464926655     0.021477187256980158     0.04140684197987526      0.07443397481753207
0.3698157497977997        0.01620326607826535      0.3696735613950702       0.36839530977956203      0.3557775884084721       0.25902535309571645      0.17285585215975738      0.16602182245282615      0.1563151757962634
0.3798299286136172        0                        0.3796858517372969       0.37839051360553416      0.3655934881820981       0.26674886112126844      0.17617275931878698      0.16791111618058152      0.1572998844026112
0                         0.5200000000000001       0                        0                        0                        0                        0                        0                        0
0.008654182574548218      0.515122620884065        0.008654406873491323     0.008656552613278497     0.008690525648375455     0.009993918246246021     0.02151465424799087      0.041368041837820606     0.07439442324215385
0.3898440994546583        0.016203266625228516     0.38969795132827434      0.38838388965083914      0.37539201381169246      0.2743882884641024       0.17964923530354812      0.17011634867295608      0.15850655509969322
0.399858273844681         0                        0.39971055159707564      0.3983822222301278       0.3852381424142773       0.282284388114258        0.1829133333905022       0.17189587840906292      0.1594323665308926
0.008719211711047168      0.5249737388488313       0.008719581530796343     0.008723037825326983     0.00877018529463511      0.010197827566898144     0.02208960335423946      0.04237592817235374      0.07626234700410205
0                         0.5300000000000001       0                        0                        0                        0                        0                        0                        0
0.00889680141602133       0.5348371177050867       0.008897327786110354     0.008902195515502073     0.00896368432511356      0.010538713922172122     0.022965373808286182     0.0439665676512063       0.07922402267097779
0                         0.5400000000000001       0                        0                        0                        0                        0                        0                        0
0.008862289674456193      0.54482861116218         0.008862965083203304     0.008869173493375971     0.00894398615257838      0.010632564089469878     0.02330557033684144      0.04454034299634949      0.08042478212527306
0                         0.5500000000000002       0                        0                        0                        0                        0                        0                        0
0.4098724459667447        0.01620326672606551      0.409722959779764        0.40837866125933503      0.39506608785728625      0.29008461725343476      0.18631974192304776      0.17395226109957418      0.16054202863897538
0.41988661907574476       0                        0.4197358827094672       0.4183802233509047       0.4049435880056376       0.29817138352343864      0.1895533193049549       0.17563529240847808      0.16141784277525403
0.4299007915576964        0.016203266741385818     0.4297486093758996       0.4283798341564237       0.4148021985862332       0.3061501658157005       0.19290938002630487      0.1775605426269474       0.16244978172625824
0.43991496430680865       0                        0.4397618634949654       0.43838470464187457      0.42471203233112215      0.31444588249863853      0.1961384280378936       0.17915975748778268      0.16328395412587343
0.4499291368870775        0.01620326674278832      0.4497749172569718       0.4483875774701846       0.4346023822470089       0.3226212819821184       0.19946724681157954      0.18097067634090777      0.16425397683555631
0.45994330953787244       0                        0.4597885084070447       0.4583958144305664       0.4445453242088784       0.3311442875933108       0.20272222037211374      0.18249832120949416      0.1650538453534528
0.4699574821443094        0.016203266742589546     0.46980189607076         0.4684020199239          0.4544683069875662       0.33953454429400226      0.2060509528162552       0.18421083368227645      0.1659749043290464
0.4799716547689362        0                        0.4798158278454619       0.4784136607568303       0.464444937540188        0.3483030482658735       0.20936765479855         0.1856788996599629       0.16674710594117947
0                         0.56                     0                        0                        0                        0                        0                        0                        0
0.008813206976132443      0.5550636483898176       0.008814028848315012     0.008821554511587516     0.008909432330681385     0.010707311429639455     0.02360027479690303      0.04502835842617416      0.08130859303718642
0                         0.5700000000000002       0                        0                        0                        0                        0                        0                        0
0.009001329780139452      0.5653367857633702       0.009002323422181614     0.009011397517539375     0.009114987141599194     0.011072742359030274     0.02453619306486725      0.04674679243652708      0.08454029040615864
0                         0.5800000000000002       0                        0                        0                        0                        0                        0                        0
0.00911251592982597       0.5754579717172156       0.009113674170242772     0.009124230987732697     0.009242761040732182     0.011344376560961293     0.025263614854191176     0.04807905039392984      0.08704023512142278
0                         0.5900000000000002       0                        0                        0                        0                        0                        0                        0
0.009149111215340355      0.5855355142270279       0.00915042246867097      0.009162356616922081     0.009294663796513487     0.011520981341893874     0.025776598755044993     0.04902110007961142      0.08890501647476222
1                         0.009999999999999898     1                        1                        1                        1                        1                        1                        1
0.9931025798616918        0.007732607057333418     0.9930994663976126       0.9930713710141343       0.9927834554256503       0.9896385939249109       0.9767141751066113       0.9495172542734822       0.8842737293375208
1                         0                        1                        1                        1                        1                        1                        1                        1
0.9889657397942032        0                        0.9889607589871053       0.9889158131277035       0.9884552293290462       0.9834255642074098       0.9627824630737174       0.9195717258490156       0.8176705105132678
0.9920918076561707        0.015952743375518674     0.9920882379750932       0.9920560255858257       0.9917259016488614       0.9881181580983213       0.9732532665387036       0.9417226972125939       0.8652262463564567
1                         0.019999999999999907     1                        1                        1                        1                        1                        1                        1
0.48998582738217206       0.0162032667424237       0.4898295542335617       0.4884232493675707       0.4744012578702535       0.356926414394638        0.21272828811481778      0.18730816888938592      0.1676299779847921
0.5000000000000001        0                        0.49984382809614153      0.49843831069271083      0.48441195697832007      0.3659582819351042       0.21614888669356272      0.1887286295505385       0.16838021835210917
0.5100141726149637        0.01620326674235927      0.5098578959811583       0.5084513123228519       0.4944021236242154       0.3748328281131066       0.21957915163782096      0.19028924904472388      0.16923406108075154
0.5200283452310639        0                        0.5198725112956006       0.5184697899044582       0.5044470655763298       0.38414533259385797      0.22315333674042684      0.19167438858352184      0.16996702769187957
0.5300425178464576        0.01620326674233895      0.5298869213731773       0.5284862136912968       0.5144713852903791       0.39328872207607074      0.22669776003981693      0.19318066538657208      0.17079941469523185
0.5400566904621277        0                        0.5399018754186912       0.5385080824460069       0.5245505344523436       0.40289826476565577      0.23048403966629835      0.19454354101408         0.1715189229459083
0.5500708630776264        0.01620326674233318      0.5499166262999989       0.5485279166692042       0.5346091068904483       0.4123274945734932       0.23419514390803506      0.19600989506692676      0.17233598713575693
0.5600850356931915        0                        0.5599319142892586       0.5585531307814702       0.544722214598608        0.4222492928193162       0.23826227223502364      0.1973649949321902       0.17304503612915048
0.5700992083087156        0.016203266742331638     0.5699470025067952       0.5685763428852745       0.5548149283043028       0.431980401843522        0.24220192437836727      0.19880651628499924      0.173851605040481
0.5801133809242554        0                        0.5799626176141354       0.5786048360424046       0.5649615310476628       0.44222814841090113      0.24663043955032596      0.2001707003700238       0.17455246606558913
0                         0.6000000000000001       0                        0                        0                        0                        0                        0                        0
0.009183316074582658      0.5955643860287356       0.009184779731560982     0.009198085651190643     0.009344106998488214     0.011694021800407997     0.026280026244465373     0.049955113400206565     0.09067700715972508
