% Model:              buoyancy_free.mph
% Version:            COMSOL 6.2.0.339
% Date:               Feb 10 2025, 17:41
% Dimension:          2
% Nodes:              4256
% Expressions:        14
% Description:        Velocity field, x-component, Velocity field, y-component
% Length unit:        m
% x                       y                        u (m/s) @ Ra=1           v (m/s) @ Ra=1           u (m/s) @ Ra=10          v (m/s) @ Ra=10          u (m/s) @ Ra=100         v (m/s) @ Ra=100         u (m/s) @ Ra=1000        v (m/s) @ Ra=1000        u (m/s) @ Ra=10000       v (m/s) @ Ra=10000       u (m/s) @ Ra=1E5         v (m/s) @ Ra=1E5         u (m/s) @ Ra=1E6         v (m/s) @ Ra=1E6
0                         0.33000000000000007      0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.009159337984609987      0.3255616382216188       6.026111324665307E-6     -5.190030155159371E-4    6.033409506279646E-5     -0.005183978403344087    6.103515984649872E-4     -0.051226323382247245    0.006479063555495208     -0.4531877185691286      0.052251711932657395     -3.109360564063579       0.2913032142556537       -20.592540707354875      1.0572259007455587       -117.47803012118527
0.18951190852528108       0.016189678862404255     4.8262189506848144E-4    -2.9215414560372176E-5   0.004819287106527518     -2.920767419396869E-4    0.04748592833710281      -0.0029105462209614245   0.40569391749677947      -0.026548664256062015    2.7536767550930388       -0.15534513178114062     18.574649888277637       -0.4961795884764422      90.9685161406644         3.440629960911776
0.1995748215340426        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0                         0.3400000000000001       0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.009111919099180384      0.3354527903533722       5.846344966065388E-6     -5.292795078154791E-4    5.8548339819502984E-5    -0.005286947029077301    5.93693666544896E-4      -0.05227579774308245     0.006420528298701245     -0.4649193440170621      0.05302138586247529      -3.207244412555076       0.2930643718254549       -21.098967041121664      1.1086007000163456       -118.89446033684682
0                         0.35000000000000014      0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.008941170170809596      0.34533807204032435      5.172886086929257E-6     -5.31803315058661E-4     5.182339202478526E-5     -0.005312480616231008    5.274274582299159E-4     -0.052560277389277876    0.0058562151035344       -0.46993529806870454     0.04947305555072704      -3.261213189347019       0.2605332050671291       -21.327202149871088      0.7796667411737185       -119.08236160755955
0                         0.4100000000000001       0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0                         0.40000000000000013      0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.009184114811324204      0.40562221367897466      3.3285169844253966E-6    -6.034888274320744E-4    3.3446551923762835E-5    -0.0060309446218060996   3.5040425565393516E-4    -0.05990235268462956     0.0047029035949214286    -0.554046998120123       0.046155301984504314     -3.991305850230837       0.20937290175532808      -24.925463855864447      0.8248515995483263       -132.28780563969678
